name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation_latitude,geolocation_longitude,:@computed_region_cbhk_fwbd,:@computed_region_nnqa_25f4
Krähenberg,12353,Valid,LL5,16500,Fell,1869-01-01T00:00:00.000,49.326940,7.464720,49.32694,7.46472,,
Krähenberg,12353,Valid,LL5,16500,Fell,1869-01-01T00:00:00.000,49.326940,7.464720,49.32694,7.46472,,
Krähenberg,12353,Valid,LL5,16500,Fell,1869-01-01T00:00:00.000,49.326940,7.464720,49.32694,7.46472,,
Krähenberg,12353,Valid,LL5,16500,Fell,1869-01-01T00:00:00.000,49.326940,7.464720,49.32694,7.46472,,
Krähenberg,12353,Valid,LL5,16500,Fell,1869-01-01T00:00:00.000,49.326940,7.464720,49.32694,7.46472,,
Krähenberg,12353,Valid,LL5,16500,Fell,1869-01-01T00:00:00.000,49.326940,7.464720,49.32694,7.46472,,
Krähenberg,12353,Valid,LL5,16500,Fell,1869-01-01T00:00:00.000,49.326940,7.464720,49.32694,7.46472,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829-01-01T00:00:00.000,54.033330,40.900000,54.03333,40.9,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946-01-01T00:00:00.000,54.333330,56.083330,54.33333,56.08333,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krutikha,12363,Valid,OC,845.2,Fell,1906-01-01T00:00:00.000,56.800000,77.000000,56.8,77.0,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Krymka,12364,Valid,LL3.2,50000,Fell,1946-01-01T00:00:00.000,47.833330,30.766670,47.83333,30.76667,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kukschin,12368,Valid,L6,2250,Fell,1938-01-01T00:00:00.000,51.150000,31.700000,51.15,31.7,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kulak,12369,Valid,L5,453.6,Fell,1961-01-01T00:00:00.000,30.731110,66.802220,30.73111,66.80222,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kuleschovka,12370,Valid,L6,6000,Fell,1811-01-01T00:00:00.000,50.750000,33.500000,50.75,33.5,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kulp,12373,Valid,H6,3719,Fell,1906-01-01T00:00:00.000,41.116670,45.000000,41.11667,45.0,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunashak,12377,Valid,L6,200000,Fell,1949-01-01T00:00:00.000,55.783330,61.366670,55.78333,61.36667,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998-01-01T00:00:00.000,42.250000,59.200000,42.25,59.2,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kushiike,12381,Valid,OC,4460,Fell,1920-01-01T00:00:00.000,37.050000,138.383330,37.05,138.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kusiali,12382,Valid,L6,5,Fell,1860-01-01T00:00:00.000,29.683330,78.383330,29.68333,78.38333,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kutais,12383,Valid,H5,23,Fell,1977-01-01T00:00:00.000,44.516670,39.300000,44.51667,39.3,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuttippuram,12384,Valid,L6,45000,Fell,1914-01-01T00:00:00.000,10.833330,76.033330,10.83333,76.03333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kuznetzovo,12385,Valid,L6,4047,Fell,1932-01-01T00:00:00.000,55.200000,75.333330,55.2,75.33333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
Kyushu,12390,Valid,L6,45000,Fell,1886-01-01T00:00:00.000,32.033330,130.633330,32.03333,130.63333,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Bécasse,12392,Valid,L6,2800,Fell,1879-01-01T00:00:00.000,47.083330,1.750000,47.08333,1.75,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Charca,12394,Valid,OC,399,Fell,1878-01-01T00:00:00.000,20.666670,-101.283330,20.66667,-101.28333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Colina,12395,Valid,H5,2000,Fell,1924-01-01T00:00:00.000,-37.333330,-61.533330,-37.33333,-61.53333,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
La Criolla,12396,Valid,L6,45000,Fell,1985-01-01T00:00:00.000,-31.233330,-58.166670,-31.23333,-58.16667,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Laborel,12408,Valid,H5,3833,Fell,1871-01-01T00:00:00.000,44.283330,5.583330,44.28333,5.58333,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
Lahrauli,12433,Valid,Ureilite,900,Fell,1955-01-01T00:00:00.000,26.783330,82.716670,26.78333,82.71667,,
L'Aigle,12434,Valid,L6,37000,Fell,1803-01-01T00:00:00.000,48.766670,0.633330,48.76667,0.63333,,
